Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   6172.44     0.18      146     0.00     0.00  __mod_clm_fracwet_MOD_fracwet
  0.00   6172.61     0.17     5071     0.00     0.00  __mod_mppparam_MOD_real8_2d_do_collect
  0.00   6172.78     0.17     2880     0.00     0.00  __mod_mppparam_MOD_real8_3d_exchange_left_bottom
  0.00   6172.93     0.15   294912     0.00     0.00  __mod_heatindex_MOD_find_t
  0.00   6173.08     0.15      269     0.00     0.00  __mod_memutil_MOD_getmem2d_d
  0.00   6173.23     0.15     1441     0.00     0.00  __mod_output_MOD_output
  0.00   6173.36     0.13     3794     0.00     0.00  __mod_heatindex_MOD_solveiii
  0.00   6173.49     0.13      146     0.00     0.00  __mod_clm_staticecosysdyn_MOD_ecosystemdyn
  0.00   6173.61     0.12     1441     0.00     0.00  __mod_sun_MOD_zenitm
  0.00   6173.72     0.11      145     0.00     0.00  __mod_clm_activelayer_MOD_alt_calc
  0.00   6173.83     0.11       50     0.00     0.00  __mod_clm_urban_MOD_urbanalbedo
  0.00   6173.92     0.09       65     0.00     0.00  __mod_bdycod_MOD_invert_top_bottom
  0.00   6174.00     0.08       49     0.00     0.00  __mod_clm_regcm_MOD_albedoclm45
  0.00   6174.07     0.07       32     0.00     0.00  __mod_clm_urban_MOD_net_solar
  0.00   6174.13     0.07        1     0.00     0.00  __mod_clm_organicfile_MOD_organicrd
  0.00   6174.19     0.06      290     0.00     0.00  __mod_clm_snowhydrology_MOD_combinesnowlayers
  0.00   6174.25     0.06        7     0.00     0.00  __mod_bdycod_MOD_bdyin
  0.00   6174.30     0.05     1513     0.00     0.00  __mod_mppparam_MOD_real8_2d_do_distribute
  0.00   6174.35     0.05       29     0.00     0.00  __mod_output_MOD_uvstagtox.constprop.3
  0.00   6174.40     0.05        1     0.00     0.00  __mod_clm_typeinit_MOD_initclmtype
  0.00   6174.45     0.05        1     0.00     0.43  __mod_init_MOD_init
  0.00   6174.49     0.04      559     0.00     0.00  __mod_ncstream_MOD_outstream_writevar
  0.00   6174.53     0.04      231     0.00     0.00  __mod_clm_histfile_MOD_hist_addfld1d
  0.00   6174.57     0.04        1     0.00     0.00  __mod_clm_mkarbinit_MOD_mkregcminit
  0.00   6174.60     0.03 11928635     0.00     0.00  __mod_ipcc_scenario_MOD_ghgval
  0.00   6174.63     0.03  3123788     0.00     0.00  __mod_zita_MOD_md_fmz
  0.00   6174.66     0.03      290     0.00     0.00  __mod_clm_snicar_MOD_snowage_grain
  0.00   6174.69     0.03       24     0.00     0.00  __mod_output_MOD_windcompute
  0.00   6174.71     0.02  8480304     0.00     0.00  __mod_lm_interface_MOD_pfesat
  0.00   6174.73     0.02  7557120     0.00     0.00  pfesat.4744
  0.00   6174.75     0.02      288     0.00     0.00  __mod_memutil_MOD_getmem1d_d
  0.00   6174.77     0.02      145     0.00     0.00  __mod_clm_histfile_MOD_hist_update_hbuf
  0.00   6174.79     0.02      145     0.00     0.00  __mod_clm_subgridave_MOD_l2g_1d
  0.00   6174.81     0.02       63     0.00     0.00  __mod_clm_nchelper_MOD_clm_writevar_real8_2d_par_sg
  0.00   6174.83     0.02       49     0.00     0.00  __mod_ocn_albedo_MOD_ocn_albedo
  0.00   6174.85     0.02       49     0.00     0.00  __mod_ocn_common_MOD_albedoocn
  0.00   6174.87     0.02        1     0.00     0.00  __mod_clm_restfile_MOD_restfile_write
  0.00   6174.88     0.01  3123788     0.00     0.00  __mod_zita_MOD_md_fmz_h
  0.00   6174.89     0.01  3123788     0.00     0.00  __mod_zita_MOD_md_zeta
  0.00   6174.90     0.01  3123788     0.00     0.00  __mod_zita_MOD_md_zeta_h
  0.00   6174.91     0.01  3086152     0.00     0.00  __mod_init_MOD_pfesat
  0.00   6174.92     0.01   179811     0.00     0.00  __mod_clm_subgrid_MOD_subgrid_get_gcellinfo
